yougile_title,yougile_guid,tim_name,tim_guid,gitlab_name,gitlab_id
Выравнивание окон и дверей (проемов) по стенам,23f870a5-8fab-4d55-8070-b2652351bb83,AtomAlignOpeningByWalls,e825b1c3-7b72-4878-a12a-2084b7d0441b,AtomAlignOpeningByWalls,107.0
Вырезание несущих конструкций из архитектурных стен,01888d14-d085-4b57-b3fa-dcf708f73361,AtomArchitectureWallsCutting,7f25cadd-9abb-4d29-afce-9483acd06559,AtomArchitectureWallsCutting,73.0
Автоматическая расстановка гильз,057d965e-30d7-4eec-908b-a738f7e840a0,AtomAutomaticSleeveLocation,debf0b29-26fc-4e8e-a7a5-53f116c78664,Нет в gitlab,
Расстановка креплений кабельных лотков,0e4a081b-00fa-40aa-8abb-740f1719170f,AtomCableTrayFastening,debf0b29-26fc-5e1e-a7a5-13f116c78664,AtomCableTrayFastening,64.0
Удаление подкатегорий,6a211d07-c362-489d-8faf-c8a76d4f4b99,AtomClearLitterCategory,47cab065-0594-4070-9a4f-2c71b41eee2d,AtomClearLitterCategory,88.0
Диспетчер кровли,cd2a8853-bd02-439f-9657-7200eaac177d,Нет в таблице plugin,,Нет в gitlab,
Коллизии,0b2132f9-eeba-4e3c-900a-e3b502f40a16,Нет в таблице plugin,,Нет в gitlab,
Менеджер цепей,90f10d43-8120-48b6-8fcf-e802410286ce,AtomCreateElectroCircut,c091f2ec-eff8-4d1a-a327-71569eab4456,AtomCreateElectroCircut,84.0
Спецификация ОИМ: разделить на отдельные плагины,04ad0d73-30a0-407d-8e02-d10930749003,AtomCreateScheduleHVAC,8cca0f20-b857-4329-9fbf-8308cb568ef4,Нет в gitlab,
Спецификация ОИМ,c3f06763-c165-4332-942d-1fef5ecd54eb,AtomCreateSchedulePlumbing,2362bb7d-e720-4984-bbe9-6e7ca47da57a,Нет в gitlab,
Спецификация ОИМ: считывать формулы из Excel,c2394a31-ac01-4119-84f5-da6aacc01806,AtomCreateSchedulePlumbing,2362bb7d-e720-4984-bbe9-6e7ca47da57a,Нет в gitlab,
Параметры спецификации (ВК/ОВ/ЭЛ/ТХ),97900126-4e23-4069-804a-8ba61f50a327,AtomCreateSchedulePlumbing,2362bb7d-e720-4984-bbe9-6e7ca47da57a,Нет в gitlab,
Отсоединение торцов стен,ad1206be-0127-457c-8c6c-997947058b3b,AtomDisallowWallJoins,263c007d-3bd0-48c9-999c-3a90a730e999,AtomDisallowWallJoins,25.0
Обрамление проемов,9a831ec2-47b8-4b96-9207-d710902bd3ad,AtomDoorRebarFraming,f7ae59e8-c31d-4894-a0a0-a35c2f5566db,AtomDoorRebarFraming,37.0
Инженерные зоны,cb360fa5-1447-4581-94fa-ee5002f70d08,AtomEngineeringZones,d2431b1e-6ba4-427f-b113-60c82fe8b603,Нет в gitlab,
Задание ЭЛ,a98443cf-19f5-4512-b9f4-17f663874602,AtomEquipmentToElBoxes,c39f42bf-4879-446a-bea6-39c96cb44462,AtomEquipmentToElBoxes,62.0
Спецификация материалов,64498617-4383-450c-aea7-9a08f3a00090,AtomExportMaterialSpecification,9adc7a60-ad65-4d25-bb94-95173baee887,AtomExportMaterialSpecification,91.0
Расстановка торцеобразователей,505eaed1-8a63-46a7-8069-34690bf1c700,AtomFaceformersPlacing,2ada3536-69d5-4b8b-93f7-4436df9bec7c,AtomFaceformersPlacing,35.0
Диспетчер семейств,efa274d0-aa7b-46f1-b77f-5395ebb67cc0,AtomFamilyDispatcher,c4a5a3b9-81a1-40e3-a92a-b40c4ca192e9,AtomFamilyDispatcher,24.0
Менеджер семейств,01e94006-1ea6-461a-b13b-090cd70908bd,AtomFamilyManager,628b38fd-132e-48fb-b1a3-ae1c874656a7,AtomFamilyManager,96.0
Диспетчер отделки,8f1746b6-51c8-4200-9eb6-980ea5478d2e,AtomFinishingDispatcher,5ee1ac53-d530-4258-89ac-3354712e3fde,AtomFinishingDispatcher,23.0
Отделка помещений,7dfce0c8-2025-4f37-b9a6-044d3d5b7a03,AtomFinishingModeling,bc9e17e6-3bd1-4a7f-bb33-f8a2e25f15a7,AtomFinishingModeling,32.0
Подсчет крепления стали(ОВ),cce3580d-bded-4d05-8e11-84d785756d0b,AtomFittingsWeight,b60db5fe-f2a7-4417-9afb-da7cebb9b3cb,AtomFittingsWeight,118.0
Диспетчер отверстий,f0ba89d9-5cc0-4ee7-8cf9-2804a3449749,AtomHoleDispatcher,0c0e3edc-cfa3-4425-88d6-28238ff97973,AtomHoleDispatcher,50.0
Копирование отверстий,d0e08243-c705-4a2b-9609-6e9d815a9b97,AtomHoleJobs,e2a17146-e5fe-4f98-b82d-948170064e33,AtomHoleJobs,90.0
Авторасстановка отверстий,4506d178-f997-40d4-ba06-30320b7a23ef,AtomHoleLevel,debf0b22-26fc-1e8e-a7a5-53f116c78664,AtomHoleLevel,63.0
Обрамление отверстий,2152f763-b507-4a0e-9209-ec1009600b06,AtomHoleRebarFraming,8994f5f4-6c3a-482e-92a5-010e054d2866,AtomHoleRebarFraming,22.0
Обрамление отверстий: исправить ошибку со стенами,5743f371-6b8f-44bc-9293-e9080e2c6093,AtomHoleRebarFraming,8994f5f4-6c3a-482e-92a5-010e054d2866,AtomHoleRebarFraming,22.0
Обрамление отверстий: добавить выбор значения параметра _Положение,32202548-a617-4a6a-9105-91e4e45441de,AtomHoleRebarFraming,8994f5f4-6c3a-482e-92a5-010e054d2866,AtomHoleRebarFraming,22.0
Вставка электроприборов,43f9b0bd-02c8-41b4-9b8b-6fb95540ea8f,AtomInsertElectroDevices,a67ebdbb-0a1a-4f48-93cf-d445efb4a4fc,AtomInsertElectroDevices,76.0
Квартирография,264f8b60-9d8d-4ab8-8480-ce19f1b006d5,AtomKvartirografia,debf0b23-86fc-4e9e-a7a4-55f106c72622,AtomKvartirografia,51.0
Диспетчер связей,3a4c40a7-0690-4007-b9eb-4ff96abdbd82,AtomLinksDispatcher,5f8b0a68-e49c-4648-af0f-c58164b28b7c,AtomLinksDispatcher,30.0
Создание эскизов перемычек,064efea2-35ca-4099-8e20-0b408fe609d9,AtomLintelSections,61e0ebd0-2213-4bd7-b767-22ff72f2c414,Нет в gitlab,
Рассчет массы изделий,200b369f-a078-48c6-8e84-755d075b5a31,AtomMassToSchedule,4b6db868-414c-4c2e-b12d-d099efccba02,AtomMassToSchedule,58.0
Мониторинг синхронизации модели,1a6c4549-3374-4389-bf7b-f34e6f05f363,AtomModelSynchronization,d6cbebed-209f-4baf-a6a5-e054ce906084,Нет в gitlab,
