"","Раздел","Категория Revit","Семейство","Версия","Описание изменения","Ответственный","Путь"
"08.03.2020","АР","Элементы узла","АСК_Эл. узла_Роза ветров","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Роза ветров (v1.0.1).rfa"
"11.04.2020","ВК","Арматура трубопроводов","АСК_Узел_Управления_Спринклерный_Спецавтоматика","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Арматура трубопроводов\Узел_Управления_Спринклерный_Спецавтоматика\АСК_Узел_Управления_Спринклерный_Спецавтоматика (v1.0.1).rfa"
"18.06.2020","АР","Элементы узла","АСК_Эл. узла_Дверной блок_Витраж","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Витражи\АСК_Эл. узла_Дверной блок_Витраж (v1.0.1).rfa"
"15.07.2020","АР","Элементы узла","АСК_Эл. узла_Кран пожарный","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Кран пожарный (v1.0.1).rfa"
"16.09.2020","АР","Элементы узла","АСК_Эл. узла_Двутавр сварной_Равнополочный","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Металлопрокат\АСК_Эл. узла_Двутавр сварной_Равнополочный (v1.0.1).rfa"
"21.09.2020","АР","Элементы узла","АСК_Эл. узла_Дюбель_Тарельчатый","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Дюбель_Тарельчатый (v1.0.1).rfa"
"01.10.2020","АР","Аннотации","АСК_Обозначение_Направление пролетов","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Аннотации\АСК_Обозначение_Направление пролетов (v1.0.1).rfa"
"01.10.2020","АР","Панели витража","АСК_Дверь витража_Сетка Рабица","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Витражи\Двери (Панели витража)\АСК_Дверь витража_Сетка Рабица (v1.0.1).rfa"
"08.10.2020","АР","Элементы узла","АСК_Эл. узла_Стрелка широкая","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Стрелка широкая (v1.0.1).rfa"
"13.10.2020","АР","Обобщенные модели","АСК_Отверстие в решетке_Круглое","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы кладовых (Обобщенные модели)\АСК_Отверстие в решетке_Круглое (v1.0.1).rfa"
"05.11.2020","АР","Элементы узла","АСК_Эл. узла_Жгут","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Жгут (v1.0.1).rfa"
"09.11.2020","АР","Обобщенные модели","АСК_Вырезание стен_Круглое","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Прочее\АСК_Вырезание стен_Круглое (v1.0.1).rfa"
"09.11.2020","АР","Обобщенные модели","АСК_Вырезание стен_Прямоуг","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Прочее\АСК_Вырезание стен_Прямоуг (v1.0.1).rfa"
"12.11.2020","ВК","Аннотации","АСК_Марка_Соед.Труб_Наименование","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Соед.дет. труб\АСК_Марка_Соед.Труб_Наименование (v1.0.1).rfa"
"12.11.2020","ОВ","Аннотации","АСК_Марка_Соед.Труб_Комментарий","1.0.1","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Аннотации\Марки соед. деталей труб\АСК_Марка_Соед.Труб_Комментарий (v1.0.1).rfa"
"12.11.2020","ОВ","Аннотации","АСК_Марка_Соед.Труб_Комментарий","1.0.1","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Аннотации\Марки соед. деталей труб\АСК_Марка_Соед.Труб_Комментарий (v1.0.1).rfa"
"12.11.2020","ОВ","Аннотации","АСК_Марка_Соед.Труб_Марка","1.0.1","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Аннотации\Марки соед. деталей труб\АСК_Марка_Соед.Труб_Марка (v1.0.1).rfa"
"12.11.2020","ОВ","Аннотации","АСК_Марка_Соед.Труб_Марка","1.0.1","Создано","Пятков Роман Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\06_ОВ\Аннотации\Марки соед. деталей труб\АСК_Марка_Соед.Труб_Марка (v1.0.1).rfa"
"17.11.2020","АР","Элементы узла","АСК_Эл. узла_Вентблок_Берит 1 отв","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Вентканалы\АСК_Эл. узла_Вентблок_Берит 1 отв (v1.0.1).rfa"
"20.11.2020","АР","Элементы узла","АСК_Эл. узла_Крепление фасада в плане","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Крепление фасада в плане (v1.0.1).rfa"
"20.11.2020","АР","Элементы узла","АСК_Эл. узла_Крепление фасада в разрезе","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Крепление фасада в разрезе (v1.0.1).rfa"
"20.11.2020","АР","Элементы узла","АСК_Эл. узла_Перекрытие для вентканала","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Вентканалы\АСК_Эл. узла_Перекрытие для вентканала (v1.0.1).rfa"
"20.11.2020","АР","Элементы узла","АСК_Эл. узла_Профиль_Импост витража_Упрощ","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Витражи\АСК_Эл. узла_Профиль_Импост витража_Упрощ (v1.0.1).rfa"
"27.11.2020","ВК","Аннотации","АСК_Марка_Трубы_Диаметр_Толщина стенки_Тип системы","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Трубы\АСК_Марка_Трубы_Диаметр_Толщина стенки_Тип системы (1.0.1).rfa"
"09.12.2020","АР","Элементы узла","АСК_Эл. узла_Дюбель","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Дюбель (v1.0.1).rfa"
"12.12.2020","АР","Элементы узла","АСК_Эл. узла_Профиль","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Профиль (v1.0.1).rfa"
"19.01.2021","АР","Элементы узла","АСК_Эл. узла_Дверь_Сталь_Внутр. откр","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Двери\АСК_Эл. узла_Дверь_Сталь_Внутр. откр (v1.0.1).rfa"
"19.01.2021","АР","Элементы узла","АСК_Эл. узла_Дверь_Сталь_Наруж. откр","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Двери\АСК_Эл. узла_Дверь_Сталь_Наруж. откр (v1.0.1).rfa"
"19.01.2021","АР","Элементы узла","АСК_Эл. узла_Дверь_Сталь_Наруж. откр_Сверху","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Двери\АСК_Эл. узла_Дверь_Сталь_Наруж. откр_Сверху (v1.0.1).rfa"
"19.01.2021","АР","Элементы узла","АСК_Эл. узла_Дверь_Сталь_Наруж. откр_Снизу","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Двери\АСК_Эл. узла_Дверь_Сталь_Наруж. откр_Снизу (v1.0.1).rfa"
"20.01.2021","АР","Элементы узла","АСК_Эл. узла_Воронка_Прямая","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\Воронки\АСК_Эл. узла_Воронка_Прямая (v1.0.1).rfa"
"02.02.2021","ВК","Аннотации","АСК_Марка_Арм. труб_Марка","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Арматура труб\АСК_Марка_Арм. труб_Марка (v1.0.1).rfa"
"02.02.2021","ВК","Аннотации","АСК_Марка_Оборудования_Марка","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Оборудование\АСК_Марка_Оборудования_Марка (v1.0.1).rfa"
"02.02.2021","ВК","Аннотации","","1.0.1","Создано","Колпаков Семен Дмитриевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\05_ВК\Аннотации\Сантех. приборы\АСК_Марка_Сантех. приборы_Марка (v1.0.1).rfa"
"04.02.2021","АР","Элементы узла","АСК_Эл. узла_Ограждение","1.0.1","Создано","Парфенов Владимир Анатольевич","P:\03_БИБЛИОТЕКА\Revit_6_Семейства\02_АР\Элементы узла\АСК_Эл. узла_Ограждение (v1.0.1).rfa"
