"Id","Раздел","Инструкция","Приоритет","Уровень пользователя","Сложность","Процессы","Ссылки на инструкции","Ответственный","Квартал","План дата","Статус","Проверил","Формат","Содержание","Распространённые ошибки","Комментарии/Задачи","Путь к оригиналу","Путь к публикации (диск P)","Путь к публикации (URL)"
"1","АП","Создание файла альбома продаж","2","Продвинутый","Средняя","Разработка альбома продаж","","Панов А.В.","IV 2024","","План","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Создание файла альбома продаж\Создание файла альбома продаж.docx","",""
"2","АП","Создание пространств в модели альбома продаж","2","Продвинутый","Средняя","Разработка альбома продаж","","Попов А.М.","","","План","","","","","","","",""
"3","АП","Настройка обложки альбома продаж","2","Продвинутый","Средняя","Разработка альбома продаж","","Попов А.М.","","","План","","","","","","","",""
"4","АП","Копирование настроек планов этажей из модели АР","2","Продвинутый","Средняя","Разработка альбома продаж","","Попов А.М.","","","План","","","","","","","",""
"5","АП","Настройка положения осей в модели альбома продаж","2","Продвинутый","Средняя","Разработка альбома продаж","","Попов А.М.","","","План","","","","","","","",""
"6","АП","Настройка листов планов этажей в модели альбома продаж","2","Продвинутый","Средняя","Разработка альбома продаж","","Попов А.М.","","","План","","","","","","","",""
"7","АП","Размещение планов альбома продаж в модели альбома продаж","2","Продвинутый","Средняя","Разработка альбома продаж","","Попов А.М.","","","План","","","","","","","",""
"8","АП","Маркировка элементов в модели альбома продаж","2","Продвинутый","Средняя","Разработка альбома продаж","","Попов А.М.","","","План","","","","","","","",""
"9","АП","Создание цветового обозначения помещений в альбоме продаж","2","Продвинутый","Средняя","Разработка альбома продаж","","Попов А.М.","","","План","","","","","","","",""
"10","ЭЛ","Расстановка и заполнение щитов","0","Базовый","Средняя","Моделирование щитового оборудования","","Васьков Д.И.","I 2025","15.05.2025","Корректировка","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\07_ЭЛ_СС\Расстановка и заполнение щитов\Инструкция_Revit_ЭЛ_Расстановка и заполнение щитов v1.docx","","https://atom-bim.ru/Instruct/Revit/ЭЛ/Revit_ЭЛ_Расстановка_и_заполнение_щитов_v1.php"
"11","ЭЛ","Dialux Evo: Выполнение светотехнического расчета","0","Продвинутый","Высокая","Расчет электроосвещения","","Васьков Д.И.","I 2025","24.02.2025","План","","Текст","","","","","",""
"12","КР","Проверка параметров армирования несущих конструкций","1","Продвинутый","Высокая","Проверка армирования","","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Приведено описание контрольных спецификаций параметров армирования несущих конструкций. Описан алгоритм проверки данных параметров.","- У элементов несущих конструкций не заполнены параметры армирования; - Параметры армирования несущих конструкций имеют разные значения между элементами одной марки на одном этаже; - Параметры армирования несущих конструкций заполнены только у части элементов конструкций одной марки.","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Проверка параметров армирования несущих конструкций\Проверка параметров армирования несущих конструкций.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Инструкция_Revit_Проверка параметров армирования несущих конструкций.pdf",""
"13","КР","Проверка параметров элементов армирования","1","Продвинутый","Высокая","Проверка армирования","Проверка параметров армирования несущих конструкций, Назначение конструкции-основы элементам армирования","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Приведено описание контрольных спецификаций параметров элементов армирования. Описан алгоритм проверки параметров армирования.","- У элементов не актуализированы значения параметров _Масса и _Длина стержня. - Значения параметров армирования отличаются от параметров несущих конструкций. - Параметры армирования конструкций одной марки имеют разные значения параметров _Количество основ, _Типовой этаж и _Количество типовых этажей.","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\03_КР\Проверка параметров элементов армирования\Проверка параметров элементов армирования.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\02_Revit_КЖ\Инструкция_Revit_Проверка параметров элементов армирования.pdf",""
"14","КР","Назначение конструкции-основы элементам армирования","3","Продвинутый","Средняя","Моделирование армирования","","Попов А.М.","","","План","","","","","","","",""
"15","АР","Настройка типоразмера системного ограждения","2","Продвинутый","Высокая","Моделирование ограждений, Моделирование лестниц","","Коновалов В.С.","I 2025","28.03.2025","План","","Текст","","","","","",""
"16","АР","Построение ограждения по системной лестнице","2","Продвинутый","Средняя","Моделирование ограждений, Моделирование лестниц","","Коновалов В.С.","I 2025","09.06.2025","Проверка","Попов А.М.","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Построение ограждения по системной лестнице\Построение ограждения по системной лестнице.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Построение ограждения по системной лестнице.mp4","https://rutube.ru/video/c2d665adbe070e30cd66cb00d0ad4b04/?r=plemwd"
